RID,UPA #,Estab Name,DBA,Site Address 1,Site Address 2,Site City,Site State,Site Zip,Site County,Primary/Site NAICS,UPA Receipt Date,Receipt Type,Formality,Insp #,Hazard Desc & Location,# Alleged Hazards/ Emp Exposed
213900,C-1571605,Amazon,,2277 Center Square Road,,SWEDESBORO,NJ,08085,GLOUCESTER,454110 / 454110,2020-04-15 08:30:00,Hotline,Nonformal,,1. Employees are allegedly exposed to unhealthy work conditions when having to re-use gloves during the COVID-19 outbreak.,1 /500
213900,C-1578661,Amazon Fulfillment Services,,50 New Canton Way,,ROBBINSVILLE,NJ,08691,MERCER,454110 / 454110,2020-04-27 09:45:00,Phone,Nonformal,,- Employees are exposed to the COVID-19 virus. Your company did not prevent contamination and/or contact exposure with potentially infected associates by sanitizing common areas and not providing appropriate Personal Protective Equipment (PPE).,1 /100
213900,C-1592808,Amazon.com,Amazon Fulfillment Center,50 New Canton Way,,TRENTON,NJ,08691,BURLINGTON,454111 / 454111,2020-05-19 15:30:00,Hotline,Nonformal,,Employees are potentially exposed to health hazards from COVID-19: 1. Where the employer has not implemented effective measures for cleaning and disinfecting of the work area. 2. Where the employer has not provided effective masks or face coverings. 3. Where social distancing measures on the ASE line and in the break rooms are not being enforced.,3 /4500
213900,C-1609671,Amazon Fulfillment Center,,240 Mantua Grove Rd.,,WEST DEPTFORD,NJ,08066,GLOUCESTER,454110 / 454110,2020-06-23 08:00:00,Online,Nonformal,,"Employees are potentially exposed to health hazards from the workplace transmission of COVID-19: 1. Where employees presenting symptoms of illness, such as fever, are required to work in close proximity to others without further evaluation. [OSH Act Section 5(a)(1)] ",1 /0
213900,C-1632130,Amazon Fulfillment Center,,50 New Canton Way,,ROBBINSVILLE,NJ,08691,MERCER,454110 / 454110,2020-07-28 13:30:00,Online,Nonformal,,"1. Workers are exposed to contracting and spreading COVID-19 in that employees do not follow guidance regarding the proper wear of appropriate masks to cover the full breathing zone while working in areas where the cover is the only barrier among coworkers. Contrary to CDC guidance and the OSH Act of 1970, Section 5(a)(1). 2. Workers are exposed to contracting and spreading COVID-19 in that managers and supervisors are modeling the incorrect wearing of face covers, are not enforcing the wearing of masks, and do not correct workers who don the mask incorrectly. This is contrary to the OSH Act of 1970, Section 5(a)(1).",2 /2000
213900,C-1633780,Amazon Fulfillment Center,,240 Mantua Grove Rd.,,WEST DEPTFORD,NJ,08066,GLOUCESTER,454110 / 454110,2020-07-30 08:15:00,Online,Nonformal,,"1. Workers are exposed to contracting and spreading COVID-19 in that employees do not follow guidance regarding the proper wear of appropriate masks to cover the full breathing zone while working in areas where the cover is the only barrier among coworkers. Contrary to CDC guidance and the OSH Act of 1970, Section 5(a)(1). 2. Workers are exposed to contracting and spreading COVID-19 in that managers and supervisors are modeling the incorrect wearing of face covers, are not enforcing the wearing of masks, and do not correct workers who don the mask incorrectly. This is contrary to the OSH Act of 1970, Section 5(a)(1). Location: All of second and third floors.",2 /200
214200,C-1643872,Amazon FC,,940 Monroe St,,HOBOKEN,NJ,07030,HUDSON,423990 / 423990,2020-08-14 08:00:00,Phone,Nonformal,,1. Employees are exposed to health hazards associated with COVID-19. It was reported that face coverings are not worn and social distancing is not implemented in accordance with CDC guidelines. Contrary to Section 5(a)1 of the OSH Act.,1 /100
214500,C-1594036,Amazon Fulfillment Center - EWR8,,698 US 46,,TETERBORO,NJ,07608,BERGEN,492110 / 492110,2020-05-21 11:00:00,Email,Nonformal,,Employees are potentially exposed to health hazards from COVID-19: 1. Where the employer is not enforcing the use of masks and/or face coverings among employees. [1910.134] 2. Where the employer is not enforcing social distancing measures in the workplace. [OSH Act Section 5(a)(1)] 3. Where the employer does not provide an adequate amount of cleaning supplies for sanitizing work areas. [OSH Act Section 5(a)(1)] 4. Where employees are unable to report COVID-19 infections through the employer's reporting system. [OSH Act Section 5(a)(1)] 5. Where employees have not been adequately trained to understand the COVID-19 infection notification system.,4 /4500
215600,C-1654644,Amazon,,1 Bulova Ave,,WOODSIDE,NY,11377,QUEENS,425110 / 425110,2020-09-02 12:00:00,Email,Nonformal,,"1. Support beam column in trailer parking area has damaged bollards. 2. There is no warning sign in the boiler room where there may be asbestos present. 3. There may be live wiring on the outside walls and on the bay entrance gate next to U-haul. 4. Carts being used have wire spokes sticking out. Some of the carts are working without proper brakes. 5. Multiple roof water leaks expose employees to tripping/slipping hazards. 6. Unauthorized people have access to the electrical room. 7. Fire extinguishers were not inspected, maintained, and tested. 8. Employees are exposed to tripping hazard from extension cords in common walkways. 9. Employees are not following Covid-19 policies, such as but not limited to, wearing masks and social distancing. 10. Employees who were confirmed with Covid-19 positive did not get properly quarantined.",10 /130
215600,C-1719158,Amazon Inc.,,41 Seaver Way,Tent #ZYY1,CORONA,NY,11368,QUEENS,454111 / 454111,2021-01-13 08:00:00,Online,Nonformal,,Complainant alleges: 1) Social distancing is not maintained within the work site 2) Employees are not provided general safety training,2 /17
316700,C-1569204,Amazon Fulfillment Center,,675 Allen Road,,CARLISLE,PA,17015,CUMBERLAND,493110 / 493110,2020-04-10 08:00:00,Online,Nonformal,,The employer has not communicated to employees that they may have been exposed to covid-19. Refer to the Centers for Disease Control CDC guidance for employers at this link. https://www.cdc.gov/coronavirus/2019-ncov/community/organizations/businesses-employers.html OSHA in coordination with the Department of Health and Human Services has prepared Guidance on Preparing Workplaces for COVID-19. It can be found here: https://www.osha.gov/Publications/OSHA3990.pdf ,1 /500
316700,C-1625458,"Amazon.com, Inc. #PHL4 Fulfillment Center",,21 Roadway Drive,,CARLISLE,PA,17015,CUMBERLAND,493110 / 493110,2020-07-20 08:45:00,Online,Nonformal,,1. Employees are not wearing their face coverings correctly. They are not covering their nose and mouth. Management is not enforcing proper mask wearing and social distancing. Refer to the Centers for Disease Control CDC guidance for employers at this link. https://www.cdc.gov/coronavirus/2019-ncov/community/organizations/businesses-employers.html OSHA in coordination with the Department of Health and Human Services has prepared Guidance on Preparing Workplaces for COVID-19. It can be found here: https://www.osha.gov/Publications/OSHA3990.pdf OSHA has Guidance on Returning to Work https://www.osha.gov/Publications/OSHA4045.pdf ,1 /500
316700,C-1651795,Amazon,,21 Roadway Dr,,CARLISLE,PA,17015,CUMBERLAND,493110 / 493110,2020-08-27 18:13:00,Phone,Nonformal,,"The employer has not implemented good infection control housekeeping practices of regularly cleaning and disinfecting surfaces, including doors and turnstiles, and other elements of the work environment. Refer to the Centers for Disease Control CDC guidance for employers at this link. https://www.cdc.gov/coronavirus/2019-ncov/community/organizations/businesses-employers.html OSHA in coordination with the Department of Health and Human Services has prepared Guidance on Preparing Workplaces for COVID-19. It can be found here: https://www.osha.gov/Publications/OSHA3990.pdf OSHA has Guidance on Returning to Work https://www.osha.gov/Publications/OSHA4045.pdf ",1 /450
316700,C-1677459,Amazon Fulfillment Center,,1002 Patriot Parkway,,READING,PA,19605,BERKS,452910 / 452910,2020-10-13 08:00:00,Online,Nonformal,,"1. Covid 19 spread measures are posted everywhere but not enforced by management. 2. Employees are exposed to struck by and puncture hazards due to skids with nails protruding from the wood. 3. The employer has not implemented good infection control housekeeping practices of regularly cleaning and disinfecting surfaces, equipment, and other elements of the work environment. Refer to the Centers for Disease Control CDC guidance for employers at this link. https://www.cdc.gov/coronavirus/2019-ncov/community/organizations/businesses-employers.html OSHA in coordination with the Department of Health and Human Services has prepared Guidance on Preparing Workplaces for COVID-19. It can be found here: https://www.osha.gov/Publications/OSHA3990.pdf OSHA has Guidance on Returning to Work https://www.osha.gov/Publications/OSHA4045.pdf",3 /200
317300,C-1582359,Amazon Services LLC,"Amazon Fulfillment Service,Inc.",560 Merrimac Ave.,,MIDDLETOWN,DE,19709,NEW CASTLE,493110 / 493110,2020-05-04 08:00:00,Online,Formal,,1 - Company is not completing COVID-19 checks prior to employees entering the facility 2 - Facility is not being sanitized during the COVID-19 outbreak,/
317500,C-1624787,Amazon Pitt 5,,2250 Poswell Avenue,,PITTSBURGH,PA,15205,ALLEGHENY,492110 / 492110,2020-07-17 14:30:00,Phone,Nonformal,,"1. An employee working in the non con department vomited into a customers Rubbermaid trash can (on Tuesday July 14, 2020) and fellow employees were exposed to potential covid 19 when this employee vomited. On Thursday July 16,2020 an employee in this department was found to be positive for covid 19. The Rubbermaid trash can was partially cleaned but never sanitized and fellow employees had to handle this Rubbermaid trash can for delivery to the customer.",1 /1
317700,C-1564239,"Amazon, Inc.",,550 Oak Ridge Road,,HAZLETON,PA,18201,LUZERNE,493110 / 493110,2020-04-02 09:00:00,Online,Nonformal,,"1. Employees have tested positive for COVID-19, and the facility is not being sanitized to protect the remaining employees. 2. Due to the type of work, employees cannot maintain social distancing while accomplishing their work.",2 /500
317700,C-1571639,Amazon Fulfillment Center,,550 OAK RIDGE ROAD,,HAZLETON,PA,18202,LUZERNE,493110 / 493110,2020-04-15 09:30:00,Phone,Nonformal,,"1. The employer is requiring employees that are working in the warehouse to wear N95 respirators without a medical surveillance, fit testing, or training.",1 /25
352420,C-1572752,Amazon Prime LLC,,833 Wayne Avenue,,SILVER SPRING,MD,20910,MONTGOMERY,445110 / 445110,2020-04-14 14:00:00,Email,Nonformal,,Possibly employees are exposed to COVID-19 where personal protective equipment (PPE) was not provided. Possibly employees are exposed to COVID-19 where chemicals used for disinfecting was not provided.,2 /100
352420,C-1574622,Amazon Logistics Warehouse,,7458 New Ridge Road,,HANOVER,MD,21076,ANNE ARUNDEL,493110 / 493110,2020-04-20 15:00:00,Online,Nonformal,,"Possibly employees are exposed to COVID-19 where engineering, administrative, and work practice controls are not implemented to protect employees. Possibly employees are exposed to COVID-19 where personal protective equipment (PPE) was not provided. Possibly employees are exposed to COVID-19 where chemicals used for disinfecting was not provided.",3 /50
352420,C-1587412,Amazon,,600 Principio Pkwy W,,NORTH EAST,MD,21901,CECIL,452910 / 452910,2020-05-11 08:15:00,Online,Nonformal,,Employees possibly exposed to COVID-19 where disinfecting chemicals were not provided for the cleaning of fall protection harnesses. Employees possibly exposed to fall hazards as a result of an inadequate supply fall protection harnesses when operating the order pickers. Employees possibly exposed to unsanitary equipment as a result of blood and urine being observed on fall protection harnesses shared by employees. Employees possibly exposed to fall hazards as a result of laundering fall protection harnesses with a method that was not approved by the manufacturer.,4 /50
355114,C-1569175,Amazon Logistics,,5716 Industrial Drive,,SPRINGFIELD,VA,22151,FAIRFAX,423990 / 423990,2020-04-10 06:30:00,Phone,Nonformal,,The employer is not Implementing precautions to protect employees from contracting and spreading the Coronavirus (COVID-19) in the workplace. Possible confirmed case of COVID-19 at workplace.,1 /100
355121,C-1564731,"Amazon, LLC","Amazon Sortation Center, RIC 5",11600 North Lakeridge Parkway,,ASHLAND,VA,23005,HANOVER,454110 / 454110,2020-04-03 09:37:00,Mail,Nonformal,,"The employer is not implementing precautions to protect employees from contracting and spreading the Coronavirus (COVID-19) in the workplace: a.) The employer is not enforcing the 6 feet social distancing guidelines for employees throughout the facility including, but not limited to, the sorting employees working on lanes A, B, C, D, and E. b.) The employer is not providing additional cleaning and sanitizing for frequently touched surfaces, such as door handles, table and counter tops, vending machine buttons and scanners. ",2 /100
355121,C-1587598,Amazon Fulfillment Center,Amazon RIC 2 Chester Facility,1901 Meadowville Technology Parkway,,CHESTER,VA,23836,CHESTERFIELD,454113 / 454113,2020-05-08 10:00:00,Online,Nonformal,,The employer is not implementing precautions to protect employees from contracting and spreading the Coronavirus (COVID-19) in the workplace: 1) The employer has gatherings of 10 or more employees and is not practicing social distancing. 2) The employer is not ensuring sanitation and cleaning of frequently touched surfaces. ,2 /1
355121,C-1610119,Amazon Fulfillment Center - RIC1,,5000 Commerce Way,,PETERSBURG,VA,23803,PETERSBURG CITY,454113 / 454113,2020-06-22 08:19:00,Online,Nonformal,,The employer is not implementing precautions to protect employees from contracting and spreading the Coronavirus (COVID-19) in the workplace: a.) Additional cleaning and sanitizing of frequently touched surfaces is not being performed. ,1 /1
355121,C-1700109,Amazon Fulfillment Center,Amazon RIC 2 Chester Facility,Amazon Fulfillment Center RIC 2,1901 Meadowville Technology Parkway,CHESTER,VA,23836,CHESTERFIELD,454113 / 454113,2020-12-07 09:00:00,Online,Nonformal,,"The employer is not implementing precautions to protect employees from contracting and spreading the Coronavirus (COVID-19) in the workplace: a) Social distancing is not enforced in the warehouse due to the increase of productivity requirements. b) The correct use of wearing facial coverings, to cover the nose and mouth, is not being enforced. c) Common and shared workspaces were not cleaned and disinfected following the exposure of COVID positive employees.",3 /1
355121,C-1741502,"Amazon, LLC","Amazon Sortation Center, RIC 5","Amazon Sortation Center, RIC 5",11600 North Lakeridge Parkway,ASHLAND,VA,23005,HANOVER,454110 / 454111,2021-03-02 10:15:00,Online,Nonformal,,"The employer is not implementing precautions to protect employees from contracting and spreading the Coronavirus (COVID-19) in the workplace: a) The wearing of face masks/covering is not enforced by Management, especially on the nightshift. b) Common areas and frequently touched surfaces are not regularly cleaned and disinfected, especially after employees have tested positive.",2 /1
355125,C-1576497,Amazon Logistics,,5716 Industrial Drive,,SPRINGFIELD,VA,22151,FAIRFAX,423990 / 423990,2020-04-21 16:41:00,Hotline,Nonformal,,"Item No.1: Two employees in the warehouse tested positive for COVID-19; however, the facility was not disinfected and employees were not provided personal protective equipment all the while working within six feet of one another.",1 /50
418100,C-1562555,Amazon Fulfillment Center - SAV3,,6803 Skipper Road,,MACON,GA,31216,BIBB,423990 / 423990,2020-03-31 08:00:00,Hotline,Nonformal,,1. Some employees have tested positive for Covid-19 and the work areas have not been sanitized. 2. An Infectious Disease Preparedness and Response Plan has not been developed.,2 /800
418100,C-1634765,Amazon Warehouse MGE3,,808 Hog Mountain Road,,JEFFERSON,GA,30549,JACKSON,484110 / 484110,2020-07-30 15:30:00,Phone,Nonformal,,Proper sanitation of the workplace is not conducted after several Covid-19 cases continue to be confirmed. Sanitation stopped but cases continue to increase. An employee with Covid-19 like symptoms was instructed to keep working which is against the CDC and OSHA guidelines. Due to the nature of the work is difficult to maintain a six foot distance therefore cases continue to increase.,1 /300
418200,C-1602017,Amazon ATL6,,4200 N Commerce Dr,,EAST POINT,GA,30344,FULTON,493110 / 493110,2020-06-08 12:00:00,Online,Nonformal,,"1. There have been 9 confirmed cases of Covid-19, and management is not enforcing safe distance rules and it has failed to effectively sanitized the facility, thus potentially exposing employees to health hazards. 2. Restrooms at the facility are not sanitary and the toilets are broken and wont flush. 3. Mask that are provided contain an odor and is causing employees faces to itch.",3 /30
418200,C-1767294,Amazon MGE8 Sortation Center,,4905 Derrick Road Southwest,,ATLANTA,GA,30349,FULTON,541614 / 541614,2021-05-12 15:45:00,Online,Nonformal,,"Employees are exposed to health hazards associated with the SARS-CoV-2 virus, in that the employer is not enforcing Centers for Disease Control and Prevention (CDC) guidelines for COVID-19 including, but not limited to, wearing masks in the common areas.",1 /500
418200,C-1770012,Amazon MGE8 Sortation Center,,4905 Derrick Road Southwest,,ATLANTA,GA,30349,FULTON,541614 / 541614,2021-05-21 08:15:00,Online,Nonformal,1533734,"1. Employees are exposed to health hazards associated with the SARS-CoV-2 virus, in that the employer is not enforcing Centers for Disease Control and Prevention (CDC) guidelines for COVID-19 including, but not limited to, wearing the appropriate PPE and maintaining six feet apart.",1 /1000
418300,C-1604315,Amazon,,975 Powder Plant Rd,,BESSEMER,AL,35022,JEFFERSON,493110 / 493110,2020-06-11 07:00:00,Online,Formal,,1. Employees are exposed to employees who have the COVID-19 virus. The employer is not telling us why people are sick or requiring employees to be tested. 2. The warehouse is not shutting down for cleaning.,/
418300,C-1631753,Amazon,,975 Powder Plant Rd,,BESSEMER,AL,35022,JEFFERSON,493110 / 493110,2020-07-28 08:00:00,Online,Nonformal,,1. Employees are exposed to hot working conditions resulting in cases of heat stress and heat exhaustion 2. Employees are exposed to respiratory hazards from COVID because individuals who worked in proximity to infected employees were not included in source tracing notifications.,2 /5000
418300,C-1710534,Amazon,,975 Powder Plant Rd,,BESSEMER,AL,35022,JEFFERSON,493110 / 493110,2020-12-22 14:00:00,Phone,Nonformal,,"1. Employees are not required to quarantine after testing positive for COVID-19, per CDC guidelines. 2. Employees are not informed when someone in the workplace tests positive for COVID-19.",2 /5000
418600,C-1703701,"Amazon Logistics, Inc",,6735 Trippel Rd,,THEODORE,AL,36582,MOBILE,493110 / 493110,2020-12-11 07:30:00,Phone,Nonformal,1511404,"1. Employees are being denied the MSDS/SDS for the chemical used during cleaning by spraying throughout the facility, but specifically in the lobby area, in the bathrooms, and on equipment. 2. Employees have not been provided training on the Hazardous Communication Program.",2 /20
418800,C-1582687,Amazon Sort Center,,1900 NW 132end PL,,DORAL,FL,33182,MIAMI-DADE,452910 / 452910,2020-05-04 08:00:00,Email,Nonformal,,Covid 19 Social distancing.,1 /1
419400,C-1715650,Amazon Fulfillment Center MEM6,,11505 Progress Way,,OLIVE BRANCH,MS,38654,DESOTO,493110 / 493110,2021-01-06 16:00:00,Online,Nonformal,,1. Bathrooms are not working 2. There have been cases of COVID-19 and the building has not been sanitized 3. No water in the warehouse 4. Portable toilets are unsanitary,4 /2
419700,C-1558309,Amazon Logistics,,12900 Pecan Park Road,,JACKSONVILLE,FL,32218,DUVAL,452910 / 452910,2020-03-25 13:00:00,Phone,Nonformal,,a. An employee tested positive for COVID-19 in the workplace the employer did not disclose the possible exposure to the other employees who found out about it in the media reports b. After knowing an employee tested positive for COVID-19 the employer did not take the recommended protected measures from the CDC to mitigate COVID-19,1 /54
